published_date,strategy_id,package_id,artifact_type,file_date,period,private_file_name,sha256,row_count,file_size_bytes,created_utc,publication_cutoff_utc,timeliness_status,notes
2026-04-27,synthetic_candles_optimizer_swinglong_plus_swingls_short_borrow300,operational_universe_v1,universe,2026-04-27,static,universe/andromeda_universe_351.csv,d630f03756b1a0f1bb1bbc0c2ed181def3a07e2868292491eac1655978c5667f,351,1469,2026-04-27T11:51:11Z,,not_applicable,private universe file hash
2026-04-27,synthetic_candles_optimizer_swinglong_plus_swingls_short_borrow300,audit_package_v1,strategy_metadata,2026-04-27,static,strategies/synthetic_candles_optimizer_swinglong_plus_swingls_short_borrow300/audit_package_v1/strategy_metadata.json,754466b037d07a0a06da90b6cf8195d0bda0d78c9fdfd54bd1de974fa2362a5b,NA,5828,2026-04-27T11:51:11Z,,not_applicable,private strategy metadata hash
2026-04-27,synthetic_candles_optimizer_swinglong_plus_swingls_short_borrow300,operational_daily_v1,daily_target_portfolio,2026-04-24,daily,signals/2026/2026-04-24.targets.csv,7426af1f39f704b43af99543e225abd2b14e7e5db110acee340f927b24c764c4,40,2448,2026-04-27T12:33:57Z,2026-04-27T12:30:00Z,late_ignored,target portfolio generated after close of file_date and effective at next US trading day open
2026-04-27,synthetic_candles_optimizer_swinglong_plus_swingls_short_borrow300,operational_daily_v1,daily_target_portfolio,2026-04-27,daily,signals/2026/2026-04-27.targets.csv,98d3812d6d73a35e04afa5c617901ccbd4d4dbad6c52d958c4074de4c0370a58,47,3053,2026-04-27T22:07:54Z,2026-04-28T12:30:00Z,on_time,target portfolio generated after close of file_date and effective at next US trading day open
2026-04-28,synthetic_candles_optimizer_swinglong_plus_swingls_short_borrow300,operational_daily_v1,daily_target_portfolio,2026-04-28,daily,signals/2026/2026-04-28.targets.csv,6686671eccc0f9555a023a1d80435409f70f599671c395a75077563cdcf26e47,55,3661,2026-04-28T21:13:15Z,2026-04-29T12:30:00Z,on_time,target portfolio generated after close of file_date and effective at next US trading day open
2026-04-29,synthetic_candles_optimizer_swinglong_plus_swingls_short_borrow300,operational_daily_v1,daily_target_portfolio,2026-04-29,daily,signals/2026/2026-04-29.targets.csv,56eb8825dbd354bed0de17ba3dd60fc5cbd6859e717ebd8bf9f7af6e2799709f,61,4166,2026-04-29T21:47:24Z,2026-04-30T12:30:00Z,on_time,target portfolio generated after close of file_date and effective at next US trading day open
2026-04-30,synthetic_candles_optimizer_swinglong_plus_swingls_short_borrow300,operational_daily_v1,daily_target_portfolio,2026-04-30,daily,signals/2026/2026-04-30.targets.csv,d6d1013b06a74148639b9f99ae647fba2d987cacf9cf53af3c65f88f1d31797c,68,4746,2026-04-30T21:49:10Z,2026-05-01T12:30:00Z,on_time,target portfolio generated after close of file_date and effective at next US trading day open
2026-05-01,synthetic_candles_optimizer_swinglong_plus_swingls_short_borrow300,metadata_correction_v1,metadata_correction,2026-05-01,metadata,strategies/synthetic_candles_optimizer_swinglong_plus_swingls_short_borrow300/audit_package_v1/corrections/2026-05-01_candles_cost_metadata_correction/strategy_metadata.corrected.json,617e81b65f7627d5bf81e5028c7ec7e8268b4c0f0481d76d8e2224b0863db9e3,1,6829,2026-05-01T09:45:17Z,,not_applicable,Corrects candles sleeve one-way transaction cost from 0 bps to 10 bps and updates reported OOS metadata; daily target position files unchanged
